Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,randomiser-wisg
1,1758454799067,21/09/2025 11:39,1758458399067,1,21/09/2025 13:39,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,,,,,info,,BEGIN,,,,,,integrated_blocks
2,1758454799122,21/09/2025 11:39,1758458399122,1,21/09/2025 13:39,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,,info,,18,,,age Slider,1,object-2,integrated_blocks
3,1758454799125,21/09/2025 11:39,1758458399125,1,21/09/2025 13:39,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,,info,,0,,,distance Slider,3,object-6,integrated_blocks
4,1758454799126,21/09/2025 11:39,1758458399126,1,21/09/2025 13:39,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,,info,,1,,,lived Slider,4,object-7,integrated_blocks
13,1758454823996,21/09/2025 11:40,1758458423996,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,How many years old are you?,response,value,22,,,age Slider,1,object-2,integrated_blocks
14,1758454823996,21/09/2025 11:40,1758458423996,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,Are you,response,value,Male,,Male|Female|You would rather not say,Multiple Choice,2,object-4,integrated_blocks
15,1758454823996,21/09/2025 11:40,1758458423996,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,Are you,response,quantised,1,,Male|Female|You would rather not say,Multiple Choice,2,object-4,integrated_blocks
16,1758454823996,21/09/2025 11:40,1758458423996,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,Roughly how many miles do you live from a city centre?,response,value,8,,,distance Slider,3,object-6,integrated_blocks
17,1758454823996,21/09/2025 11:40,1758458423996,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,How long have you been a resident in your local area in year?,response,value,22,,,lived Slider,4,object-7,integrated_blocks
18,1758454823996,21/09/2025 11:40,1758458423996,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,What is your approximate household income?,response,value,"£0 to £30,000",,,Rating Scale,5,object-8,integrated_blocks
19,1758454823997,21/09/2025 11:40,1758458423997,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,Page 1,km46lf,1,What is your approximate household income?,response,quantised,1,,,Rating Scale,5,object-8,integrated_blocks
20,1758454823997,21/09/2025 11:40,1758458423997,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329608,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Demographics,3,,,,,info,,END,24866,,,,,integrated_blocks
1,1758454806435,21/09/2025 11:40,1758458406435,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,,,,,info,,BEGIN,,,,,,sep_blocks
2,1758454806547,21/09/2025 11:40,1758458406547,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,,info,,18,,,age Slider,1,object-2,sep_blocks
3,1758454806559,21/09/2025 11:40,1758458406559,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,,info,,0,,,distance Slider,3,object-6,sep_blocks
4,1758454806563,21/09/2025 11:40,1758458406563,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,,info,,1,,,lived Slider,4,object-7,sep_blocks
13,1758454845948,21/09/2025 11:40,1758458445948,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,How many years old are you?,response,value,50,,,age Slider,1,object-2,sep_blocks
14,1758454845949,21/09/2025 11:40,1758458445949,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,Are you,response,value,Male,,Male|Female|You would rather not say,Multiple Choice,2,object-4,sep_blocks
15,1758454845949,21/09/2025 11:40,1758458445949,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,Are you,response,quantised,1,,Male|Female|You would rather not say,Multiple Choice,2,object-4,sep_blocks
16,1758454845950,21/09/2025 11:40,1758458445950,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,Roughly how many miles do you live from a city centre?,response,value,2,,,distance Slider,3,object-6,sep_blocks
17,1758454845954,21/09/2025 11:40,1758458445954,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,How long have you been a resident in your local area in year?,response,value,21,,,lived Slider,4,object-7,sep_blocks
18,1758454845955,21/09/2025 11:40,1758458445955,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,What is your approximate household income?,response,value,"£31,000 to £60,000",,,Rating Scale,5,object-8,sep_blocks
19,1758454845955,21/09/2025 11:40,1758458445955,1,21/09/2025 13:40,238955,3,questionnaire-nlz5,,49329612,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Demographics,3,Page 1,km46lf,1,What is your approximate household income?,response,quantised,2,,,Rating Scale,5,object-8,sep_blocks
